GEOID,county,density
1001,Autauga County,93
1003,Baldwin County,117.4
1005,Barbour County,30.6
1007,Bibb County,36.6
1009,Blount County,89.5
1011,Bullock County,16.9
1013,Butler County,26.6
1015,Calhoun County,194.4
1017,Chambers County,56.9
1019,Cherokee County,47.1
1021,Chilton County,63.4
1023,Choctaw County,14.9
1025,Clarke County,20.7
1027,Clay County,23
1029,Cleburne County,26.5
1031,Coffee County,74.4
1033,Colbert County,92
1035,Conecuh County,15.4
1037,Coosa County,16.5
1039,Covington County,36.9
1041,Crenshaw County,22.8
1043,Cullman County,109.6
1045,Dale County,89.2
1047,Dallas County,44.3
1049,DeKalb County,91.8
1051,Elmore County,129.6
1053,Escambia County,40.3
1055,Etowah County,195
1057,Fayette County,27.4
1059,Franklin County,50.3
1061,Geneva County,46.6
1063,Greene County,13.8
1065,Hale County,23.9
1067,Henry County,31
1069,Houston County,176.6
1071,Jackson County,49.4
1073,Jefferson County,592.9
1075,Lamar County,23.7
1077,Lauderdale County,139
1079,Lawrence County,49.4
1081,Lee County,236.1
1083,Limestone County,152.5
1085,Lowndes County,15.6
1087,Macon County,34.8
1089,Madison County,424.3
1091,Marengo County,21.2
1093,Marion County,41.3
1095,Marshall County,166.4
1097,Mobile County,335.6
1099,Monroe County,22.2
1101,Montgomery County,295.9
1103,Morgan County,207.1
1105,Perry County,14.4
1107,Pickens County,22
1109,Pike County,49
1111,Randolph County,39.3
1113,Russell County,85.1
1115,St. Clair County,133.6
1117,Shelby County,252.2
1119,Sumter County,14.9
1121,Talladega County,110.8
1123,Tallapoosa County,58.1
1125,Tuscaloosa County,149.2
1127,Walker County,84.3
1129,Washington County,16.1
1131,Wilcox County,12.9
1133,Winston County,39.7
2013,Aleutians East Borough,0.5
2016,Aleutians West Census Area,1.3
2020,Anchorage Municipality,173.4
2050,Bethel Census Area,0.4
2060,Bristol Bay Borough,2
2068,Denali Borough,0.1
2070,Dillingham Census Area,0.3
2090,Fairbanks North Star Borough,13.5
2100,Haines Borough,1.1
2105,Hoonah-Angoon Census Area,0.3
2110,Juneau City and Borough,11.9
2122,Kenai Peninsula Borough,3.5
2130,Ketchikan Gateway Borough,2.8
2150,Kodiak Island Borough,2.1
2164,Lake and Peninsula Borough,0.1
2170,Matanuska-Susitna Borough,3.7
2180,Nome Census Area,0.4
2185,North Slope Borough,0.1
2188,Northwest Arctic Borough,0.2
2195,Petersburg Census Area,1.2
2198,Prince of Wales-Hyder Census Area,1.5
2220,Sitka City and Borough,3.1
2230,Skagway Municipality,2.1
2240,Southeast Fairbanks Census Area,0.3
2261,Valdez-Cordova Census Area,0.3
2270,Wade Hampton Census Area,0.4
2275,Wrangell City and Borough,0.9
2282,Yakutat City and Borough,0.1
2290,Yukon-Koyukuk Census Area,0
4001,Apache County,6.5
4003,Cochise County,21.6
4005,Coconino County,7.2
4007,Gila County,11.2
4009,Graham County,8
4011,Greenlee County,4.7
4012,La Paz County,4.5
4013,Maricopa County,421.8
4015,Mohave County,15.2
4017,Navajo County,10.8
4019,Pima County,107.7
4021,Pinal County,71.4
4023,Santa Cruz County,38.5
4025,Yavapai County,26.1
4027,Yuma County,36.4
5001,Arkansas County,19.1
5003,Ashley County,23.4
5005,Baxter County,74.9
5007,Benton County,268.5
5009,Boone County,62.8
5011,Bradley County,17.7
5013,Calhoun County,8.2
5015,Carroll County,43.7
5017,Chicot County,18.2
5019,Clark County,26.4
5021,Clay County,24.8
5023,Cleburne County,46.8
5025,Cleveland County,14.5
5027,Columbia County,31.9
5029,Conway County,38.5
5031,Craighead County,139
5033,Crawford County,104.4
5035,Crittenden County,82.9
5037,Cross County,28.8
5039,Dallas County,12.1
5041,Desha County,16.6
5043,Drew County,22.3
5045,Faulkner County,179.6
5047,Franklin County,29.6
5049,Fulton County,19.9
5051,Garland County,143.3
5053,Grant County,28.5
5055,Greene County,73.9
5057,Hempstead County,31
5059,Hot Spring County,53.4
5061,Howard County,23.6
5063,Independence County,48.3
5065,Izard County,23.1
5067,Jackson County,28.2
5069,Jefferson County,87.6
5071,Johnson County,39
5073,Lafayette County,14.2
5075,Lawrence County,29.2
5077,Lee County,17.1
5079,Lincoln County,24.9
5081,Little River County,24.4
5083,Logan County,31.5
5085,Lonoke County,90
5087,Madison County,18.9
5089,Marion County,27.8
5091,Miller County,69.9
5093,Mississippi County,51
5095,Monroe County,13.3
5097,Montgomery County,12.1
5099,Nevada County,14.6
5101,Newton County,10.1
5103,Ouachita County,35.3
5105,Perry County,18.9
5107,Phillips County,30.8
5109,Pike County,18.7
5111,Poinsett County,32.3
5113,Polk County,24
5115,Pope County,76.7
5117,Prairie County,13.3
5119,Pulaski County,508.4
5121,Randolph County,27.6
5123,St. Francis County,44.1
5125,Saline County,151.4
5127,Scott County,12.6
5129,Searcy County,12.1
5131,Sebastian County,239
5133,Sevier County,30.6
5135,Sharp County,28.8
5137,Stone County,20.8
5139,Union County,39.9
5141,Van Buren County,24.1
5143,Washington County,220.3
5145,White County,75.5
5147,Woodruff County,12.3
5149,Yell County,23.7
6001,Alameda County,2070.1
6003,Alpine County,1.5
6005,Amador County,63.8
6007,Butte County,134.6
6009,Calaveras County,44.2
6011,Colusa County,18.7
6013,Contra Costa County,1489.1
6015,Del Norte County,28.5
6017,El Dorado County,105.9
6019,Fresno County,158.3
6021,Glenn County,21.4
6023,Humboldt County,37.8
6025,Imperial County,42.4
6027,Inyo County,1.8
6029,Kern County,104.7
6031,Kings County,110.7
6033,Lake County,51.2
6035,Lassen County,7.5
6037,Los Angeles County,2437
6039,Madera County,71.6
6041,Marin County,490.2
6043,Mariposa County,12.6
6045,Mendocino County,25
6047,Merced County,134.3
6049,Modoc County,2.4
6051,Mono County,4.7
6053,Monterey County,128.6
6055,Napa County,184.5
6057,Nevada County,103
